"panelista" "copas" "id"
"V1" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V1" "8_Mumm Cuvée Réserve Extra Brut" 166
"V1" "9_Dante Robino Gran Dante Brut Nature" 524
"V1" "21_Federico de Alvear Brut" 915
"V1" "10_Dante Robino Extra Brut" 991
"V1" "24_Norton Elegido Extra Brut" 494
"V2" "8_Mumm Cuvée Réserve Extra Brut" 166
"V2" "21_Federico de Alvear Brut" 915
"V2" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V2" "24_Norton Elegido Extra Brut" 494
"V2" "9_Dante Robino Gran Dante Brut Nature" 524
"V2" "10_Dante Robino Extra Brut" 991
"V3" "21_Federico de Alvear Brut" 915
"V3" "24_Norton Elegido Extra Brut" 494
"V3" "8_Mumm Cuvée Réserve Extra Brut" 166
"V3" "10_Dante Robino Extra Brut" 991
"V3" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V3" "9_Dante Robino Gran Dante Brut Nature" 524
"V4" "24_Norton Elegido Extra Brut" 494
"V4" "10_Dante Robino Extra Brut" 991
"V4" "21_Federico de Alvear Brut" 915
"V4" "9_Dante Robino Gran Dante Brut Nature" 524
"V4" "8_Mumm Cuvée Réserve Extra Brut" 166
"V4" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V5" "10_Dante Robino Extra Brut" 991
"V5" "9_Dante Robino Gran Dante Brut Nature" 524
"V5" "24_Norton Elegido Extra Brut" 494
"V5" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V5" "21_Federico de Alvear Brut" 915
"V5" "8_Mumm Cuvée Réserve Extra Brut" 166
"V6" "9_Dante Robino Gran Dante Brut Nature" 524
"V6" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V6" "10_Dante Robino Extra Brut" 991
"V6" "8_Mumm Cuvée Réserve Extra Brut" 166
"V6" "24_Norton Elegido Extra Brut" 494
"V6" "21_Federico de Alvear Brut" 915
"V7" "24_Norton Elegido Extra Brut" 494
"V7" "21_Federico de Alvear Brut" 915
"V7" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V7" "8_Mumm Cuvée Réserve Extra Brut" 166
"V7" "10_Dante Robino Extra Brut" 991
"V7" "9_Dante Robino Gran Dante Brut Nature" 524
"V8" "21_Federico de Alvear Brut" 915
"V8" "8_Mumm Cuvée Réserve Extra Brut" 166
"V8" "24_Norton Elegido Extra Brut" 494
"V8" "9_Dante Robino Gran Dante Brut Nature" 524
"V8" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V8" "10_Dante Robino Extra Brut" 991
"V9" "8_Mumm Cuvée Réserve Extra Brut" 166
"V9" "9_Dante Robino Gran Dante Brut Nature" 524
"V9" "21_Federico de Alvear Brut" 915
"V9" "10_Dante Robino Extra Brut" 991
"V9" "24_Norton Elegido Extra Brut" 494
"V9" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V10" "9_Dante Robino Gran Dante Brut Nature" 524
"V10" "10_Dante Robino Extra Brut" 991
"V10" "8_Mumm Cuvée Réserve Extra Brut" 166
"V10" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V10" "21_Federico de Alvear Brut" 915
"V10" "24_Norton Elegido Extra Brut" 494
"V11" "10_Dante Robino Extra Brut" 991
"V11" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V11" "9_Dante Robino Gran Dante Brut Nature" 524
"V11" "24_Norton Elegido Extra Brut" 494
"V11" "8_Mumm Cuvée Réserve Extra Brut" 166
"V11" "21_Federico de Alvear Brut" 915
"V12" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V12" "24_Norton Elegido Extra Brut" 494
"V12" "10_Dante Robino Extra Brut" 991
"V12" "21_Federico de Alvear Brut" 915
"V12" "9_Dante Robino Gran Dante Brut Nature" 524
"V12" "8_Mumm Cuvée Réserve Extra Brut" 166
"V13" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V13" "9_Dante Robino Gran Dante Brut Nature" 524
"V13" "10_Dante Robino Extra Brut" 991
"V13" "8_Mumm Cuvée Réserve Extra Brut" 166
"V13" "21_Federico de Alvear Brut" 915
"V13" "24_Norton Elegido Extra Brut" 494
"V14" "9_Dante Robino Gran Dante Brut Nature" 524
"V14" "8_Mumm Cuvée Réserve Extra Brut" 166
"V14" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V14" "24_Norton Elegido Extra Brut" 494
"V14" "10_Dante Robino Extra Brut" 991
"V14" "21_Federico de Alvear Brut" 915
"V15" "8_Mumm Cuvée Réserve Extra Brut" 166
"V15" "24_Norton Elegido Extra Brut" 494
"V15" "9_Dante Robino Gran Dante Brut Nature" 524
"V15" "21_Federico de Alvear Brut" 915
"V15" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V15" "10_Dante Robino Extra Brut" 991
"V16" "24_Norton Elegido Extra Brut" 494
"V16" "21_Federico de Alvear Brut" 915
"V16" "8_Mumm Cuvée Réserve Extra Brut" 166
"V16" "10_Dante Robino Extra Brut" 991
"V16" "9_Dante Robino Gran Dante Brut Nature" 524
"V16" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V17" "21_Federico de Alvear Brut" 915
"V17" "10_Dante Robino Extra Brut" 991
"V17" "24_Norton Elegido Extra Brut" 494
"V17" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V17" "8_Mumm Cuvée Réserve Extra Brut" 166
"V17" "9_Dante Robino Gran Dante Brut Nature" 524
"V18" "10_Dante Robino Extra Brut" 991
"V18" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V18" "21_Federico de Alvear Brut" 915
"V18" "9_Dante Robino Gran Dante Brut Nature" 524
"V18" "24_Norton Elegido Extra Brut" 494
"V18" "8_Mumm Cuvée Réserve Extra Brut" 166
"V19" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V19" "10_Dante Robino Extra Brut" 991
"V19" "21_Federico de Alvear Brut" 915
"V19" "24_Norton Elegido Extra Brut" 494
"V19" "8_Mumm Cuvée Réserve Extra Brut" 166
"V19" "9_Dante Robino Gran Dante Brut Nature" 524
"V20" "10_Dante Robino Extra Brut" 991
"V20" "24_Norton Elegido Extra Brut" 494
"V20" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V20" "9_Dante Robino Gran Dante Brut Nature" 524
"V20" "21_Federico de Alvear Brut" 915
"V20" "8_Mumm Cuvée Réserve Extra Brut" 166
"V21" "24_Norton Elegido Extra Brut" 494
"V21" "9_Dante Robino Gran Dante Brut Nature" 524
"V21" "10_Dante Robino Extra Brut" 991
"V21" "8_Mumm Cuvée Réserve Extra Brut" 166
"V21" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V21" "21_Federico de Alvear Brut" 915
"V22" "9_Dante Robino Gran Dante Brut Nature" 524
"V22" "8_Mumm Cuvée Réserve Extra Brut" 166
"V22" "24_Norton Elegido Extra Brut" 494
"V22" "21_Federico de Alvear Brut" 915
"V22" "10_Dante Robino Extra Brut" 991
"V22" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V23" "8_Mumm Cuvée Réserve Extra Brut" 166
"V23" "21_Federico de Alvear Brut" 915
"V23" "9_Dante Robino Gran Dante Brut Nature" 524
"V23" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V23" "24_Norton Elegido Extra Brut" 494
"V23" "10_Dante Robino Extra Brut" 991
"V24" "21_Federico de Alvear Brut" 915
"V24" "2_ Salentein Cuvée Spéciale Extra Brut" 880
"V24" "8_Mumm Cuvée Réserve Extra Brut" 166
"V24" "10_Dante Robino Extra Brut" 991
"V24" "9_Dante Robino Gran Dante Brut Nature" 524
"V24" "24_Norton Elegido Extra Brut" 494
